Serial,Precipitation(mm)
20170101,0
20170102,0
20170103,0
20170104,0
20170105,0
20170106,0
20170107,0
20170108,0
20170109,0
20170110,0
20170111,0
20170112,0
20170113,0
20170114,0
20170115,0
20170116,0
20170117,0
20170118,0
20170119,0
20170120,0
20170121,0
20170122,0
20170123,0
20170124,0
20170125,0
20170126,0
20170127,0
20170128,0
20170129,0
20170130,0
20170131,0
20170201,0
20170202,0
20170203,0
20170204,0
20170205,0
20170206,0
20170207,0
20170208,0
20170209,0
20170210,0
20170211,0
20170212,0
20170213,0
20170214,0
20170215,0
20170216,0
20170217,0
20170218,0
20170219,0
20170220,0
20170221,0
20170222,0
20170223,0
20170224,0
20170225,0
20170226,0
20170227,0
20170228,0
20170301,0
20170302,0
20170303,0
20170304,0
20170305,0
20170306,0
20170307,0.5
20170308,0.5
20170309,0
20170310,0
20170311,0
20170312,0
20170313,0
20170314,0
20170315,0
20170316,2.5
20170317,0
20170318,0
20170319,0
20170320,0
20170321,0
20170322,0
20170323,0
20170324,0
20170325,0
20170326,0
20170327,0
20170328,0
20170329,0.5
20170330,0
20170331,2.5
20170401,5.0
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,0
20170408,0
20170409,0
20170410,0
20170411,0.5
20170412,16.0
20170413,17.0
20170414,0
20170415,0
20170416,0
20170417,0
20170418,0
20170419,11.5
20170420,0
20170421,0
20170422,40.0
20170423,6.0
20170424,0
20170425,0
20170426,0
20170427,1.0
20170428,0
20170429,0
20170430,0
20170501,0
20170502,0
20170503,0
20170504,0
20170505,0
20170506,0
20170507,0
20170508,0
20170509,0
20170510,0
20170511,0
20170512,0
20170513,0
20170514,0
20170515,1.5
20170516,15.5
20170517,1.5
20170518,0
20170519,3.5
20170520,0.5
20170521,0
20170522,0.5
20170523,0
20170524,12.5
20170525,26.0
20170526,0
20170527,0
20170528,0.5
20170529,0
20170530,5.0
20170531,1.0
20170601,20.5
20170602,8.0
20170603,28.0
20170604,106.0
20170605,0
20170606,0
20170607,0
20170608,1.5
20170609,0
20170610,0
20170611,0
20170612,14.5
20170613,23.5
20170614,31.0
20170615,43.0
20170616,15.5
20170617,70.5
20170618,7.5
20170619,0
20170620,0
20170621,0
20170622,0
20170623,0
20170624,0
20170625,0
20170626,0
20170627,0
20170628,0
20170629,11.5
20170630,0
20170701,0
20170702,12.5
20170703,0
20170704,8.5
20170705,0
20170706,1.0
20170707,0
20170708,0
20170709,2.0
20170710,0
20170711,0
20170712,74.5
20170713,7.5
20170714,0.5
20170715,3.0
20170716,8.5
20170717,2.0
20170718,0
20170719,0
20170720,0
20170721,5.5
20170722,0
20170723,0
20170724,3.0
20170725,0
20170726,0
20170727,0
20170728,0
20170729,0
20170730,0
20170731,6.5
20170801,0
20170802,0
20170803,18.0
20170804,0.5
20170805,0
20170806,0
20170807,0
20170808,5.0
20170809,0
20170810,2.0
20170811,0
20170812,0
20170813,0
20170814,0
20170815,0
20170816,4.5
20170817,0.5
20170818,2.5
20170819,0
20170820,0
20170821,0
20170822,11.0
20170823,2.5
20170824,12.5
20170825,0.5
20170826,1.5
20170827,25.0
20170828,29.5
20170829,0
20170830,0
20170831,1.0
20170901,22.5
20170902,2.0
20170903,0
20170904,79.5
20170905,20.0
20170906,0
20170907,1.0
20170908,0
20170909,0
20170910,0.5
20170911,0
20170912,0
20170913,52.5
20170914,0
20170915,0
20170916,0
20170917,0
20170918,0
20170919,0.5
20170920,4.0
20170921,0
20170922,0
20170923,0
20170924,0
20170925,10.0
20170926,0
20170927,0
20170928,0
20170929,0.5
20170930,0
20171001,3.0
20171002,15.0
20171003,0
20171004,0
20171005,0
20171006,0
20171007,0
20171008,0
20171009,0
20171010,0
20171011,0
20171012,0
20171013,23.0
20171014,37.5
20171015,71.5
20171016,0.5
20171017,0
20171018,0
20171019,0
20171020,0
20171021,0
20171022,0
20171023,0
20171024,2.0
20171025,0
20171026,0
20171027,0
20171028,0
20171029,0
20171030,0
20171031,0
20171101,0
20171102,0.5
20171103,0
20171104,0
20171105,0
20171106,0.5
20171107,0
20171108,0
20171109,0
20171110,0.5
20171111,2.5
20171112,5.0
20171113,3.0
20171114,0
20171115,0
20171116,0
20171117,0
20171118,0
20171119,0
20171120,0
20171121,0
20171122,0
20171123,0
20171124,0
20171125,0
20171126,0
20171127,0
20171128,0
20171129,0
20171130,0
20171201,0
20171202,0
20171203,0
20171204,0
20171205,0
20171206,0
20171207,0
20171208,0
20171209,0
20171210,0
20171211,0
20171212,0
20171213,0
20171214,0
20171215,0
20171216,0
20171217,0
20171218,0
20171219,0
20171220,0.5
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0
20171227,0
20171228,0
20171229,0
20171230,0
20171231,0
20180101,0
20180102,0
20180103,0
20180104,8.0
20180105,9.0
20180106,4.5
20180107,0
20180108,0.5
20180109,1.5
20180110,4.5
20180111,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0
20180117,0
20180118,0
20180119,0
20180120,0
20180121,0
20180122,0
20180123,0
20180124,0
20180125,0
20180126,0
20180127,0
20180128,0
20180129,2.5
20180130,5.0
20180131,0
20180201,3.0
20180202,0
20180203,0
20180204,0
20180205,0
20180206,0
20180207,0
20180208,0
20180209,0
20180210,0
20180211,3.5
20180212,0
20180213,0
20180214,0
20180215,0
20180216,0
20180217,0
20180218,0
20180219,0
20180220,0
20180221,0
20180222,1.0
20180223,0
20180224,0
20180225,0
20180226,0
20180227,0
20180228,0
20180301,0
20180302,0
20180303,0
20180304,0
20180305,0
20180306,0
20180307,0
20180308,10.0
20180309,4.5
20180310,0
20180311,0
20180312,0
20180313,0
20180314,0
20180315,27.0
20180316,0
20180317,0
20180318,0
20180319,0
20180320,1.0
20180321,0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,0.5
20180327,0
20180328,0
20180329,0
20180330,0
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,26.5
20180407,0.5
20180408,0
20180409,0
20180410,0
20180411,0
20180412,0
20180413,0
20180414,0
20180415,0
20180416,0
20180417,0
20180418,0
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0
20180424,0
20180425,1.0
20180426,3.5
20180427,0
20180428,0
20180429,0
20180430,0
20180501,0
20180502,0
20180503,0
20180504,0
20180505,0
20180506,0
20180507,0
20180508,30.5
20180509,25.5
20180510,7.0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0
20180521,0
20180522,0
20180523,0
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,0
20180530,0
20180531,0
20180601,3.0
20180602,0
20180603,0
20180604,7.0
20180605,0
20180606,0.5
20180607,0.5
20180608,0
20180609,0
20180610,3.0
20180611,17.5
20180612,2.5
20180613,11.0
20180614,125.0
20180615,138.0
20180616,1.0
20180617,71.0
20180618,38.5
20180619,180.5
20180620,101.0
20180621,21.5
20180622,1.0
20180623,0
20180624,0
20180625,0
20180626,7.5
20180627,29.0
20180628,0
20180629,0
20180630,31.0
20180701,46.0
20180702,253.5
20180703,94.5
20180704,82.0
20180705,33.5
20180706,69.0
20180707,1.5
20180708,7.0
20180709,0.5
20180710,0
20180711,0
20180712,13.0
20180713,11.0
20180714,8.0
20180715,0
20180716,0
20180717,0
20180718,1.5
20180719,151.0
20180720,1.0
20180721,1.5
20180722,48.0
20180723,0
20180724,4.5
20180725,5.0
20180726,27.5
20180727,27.0
20180728,60.5
20180729,1.0
20180730,0
20180731,0
20180801,0
20180802,19.0
20180803,7.5
20180804,28.5
20180805,6.5
20180806,42.0
20180807,2.0
20180808,0.5
20180809,0.5
20180810,20.0
20180811,0.5
20180812,0
20180813,107.5
20180814,37.5
20180815,39.0
20180816,8.0
20180817,5.0
20180818,8.0
20180819,1.0
20180820,7.5
20180821,2.0
20180822,13.5
20180823,243.5
20180824,203.0
20180825,41.0
20180826,21.0
20180827,185.0
20180828,356.5
20180829,109.5
20180830,20.5
20180831,0
20180901,0
20180902,0
20180903,0
20180904,1.5
20180905,5.5
20180906,26.5
20180907,0
20180908,34.0
20180909,1.0
20180910,6.5
20180911,2.5
20180912,15.5
20180913,0
20180914,0
20180915,19.0
20180916,2.5
20180917,6.5
20180918,0
20180919,0
20180920,0
20180921,0
20180922,0
20180923,21.0
20180924,0
20180925,61.5
20180926,0
20180927,0
20180928,0
20180929,0
20180930,0
20181001,0
20181002,0
20181003,0
20181004,0
20181005,0
20181006,0
20181007,0
20181008,0
20181009,1.0
20181010,9.5
20181011,0
20181012,5.5
20181013,0
20181014,0
20181015,0
20181016,0
20181017,0
20181018,0.5
20181019,0.5
20181020,0
20181021,0
20181022,0
20181023,0
20181024,0
20181025,0
20181026,0
20181027,0
20181028,0
20181029,0
20181030,0
20181031,0
20181101,0
20181102,0
20181103,0
20181104,0
20181105,0
20181106,0
20181107,0
20181108,0
20181109,0
20181110,0
20181111,0
20181112,0
20181113,0
20181114,0
20181115,0
20181116,0
20181117,0
20181118,0
20181119,0
20181120,0
20181121,0
20181122,0
20181123,0
20181124,0
20181125,0
20181126,0
20181127,0
20181128,0
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,0
20181206,0
20181207,0
20181208,0
20181209,0
20181210,0
20181211,0
20181212,0
20181213,0
20181214,0
20181215,0
20181216,0
20181217,0
20181218,0
20181219,0
20181220,0
20181221,0
20181222,0
20181223,0
20181224,0
20181225,0
20181226,0
20181227,0
20181228,0
20181229,0
20181230,0
20181231,0
20190101,0
20190102,0
20190103,0
20190104,0
20190105,0
20190106,0
20190107,0
20190108,0
20190109,0
20190110,0
20190111,0
20190112,0
20190113,0
20190114,0
20190115,0
20190116,0.5
20190117,0
20190118,0
20190119,0
20190120,1.0
20190121,0
20190122,0
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0
20190128,0
20190129,0
20190130,0
20190131,0
20190201,0
20190202,0
20190203,0
20190204,1.0
20190205,8.5
20190206,0
20190207,0
20190208,0
20190209,0
20190210,0
20190211,0
20190212,0
20190213,0
20190214,0
20190215,0
20190216,0
20190217,0
20190218,0
20190219,0
20190220,0
20190221,0
20190222,0
20190223,0
20190224,0
20190225,1.5
20190226,0
20190227,0
20190228,0
20190301,0
20190302,0
20190303,0
20190304,0
20190305,0
20190306,0
20190307,1.0
20190308,0.5
20190309,5.0
20190310,11.5
20190311,8.0
20190312,0
20190313,0
20190314,0
20190315,0
20190316,0
20190317,0
20190318,0
20190319,0
20190320,0
20190321,0
20190322,0
20190323,1.5
20190324,0.5
20190325,0
20190326,0
20190327,0
20190328,0
20190329,0
20190330,0
20190331,0
20190401,0
20190402,0
20190403,0
20190404,0
20190405,0
20190406,0
20190407,0
20190408,0
20190409,0
20190410,0
20190411,0
20190412,0
20190413,0
20190414,0
20190415,0
20190416,15.5
20190417,0
20190418,0
20190419,64.5
20190420,0
20190421,5.0
20190422,0.5
20190423,0
20190424,0
20190425,0
20190426,0
20190427,0
20190428,0
20190429,0
20190430,0
20190501,58.0
20190502,1.0
20190503,0
20190504,3.0
20190505,1.0
20190506,46.0
20190507,1.5
20190508,1.0
20190509,0
20190510,0.5
20190511,0
20190512,0
20190513,0
20190514,0
20190515,34.5
20190516,0.5
20190517,0.5
20190518,18.0
20190519,2.0
20190520,73.0
20190521,2.0
20190522,2.5
20190523,0.5
20190524,6.5
20190525,0
20190526,0
20190527,2.0
20190528,0
20190529,0.5
20190530,0
20190531,46.5
20190601,2.0
20190602,0.5
20190603,0
20190604,4.0
20190605,0
20190606,0
20190607,0
20190608,0
20190609,0.5
20190610,39.0
20190611,48.5
20190612,25.0
20190613,21.0
20190614,62.0
20190615,0
20190616,0
20190617,0
20190618,0
20190619,0
20190620,0
20190621,0
20190622,0
20190623,12.5
20190624,0
20190625,8.0
20190626,3.0
20190627,1.0
20190628,0
20190629,2.0
20190630,0
20190701,0
20190702,63.5
20190703,83.5
20190704,15.5
20190705,14.0
20190706,28.0
20190707,26.5
20190708,38.5
20190709,74.5
20190710,98.0
20190711,80.0
20190712,0
20190713,1.0
20190714,0
20190715,0
20190716,0
20190717,0
20190718,6.5
20190719,156.0
20190720,30.0
20190721,35.5
20190722,0
20190723,0
20190724,0
20190725,0
20190726,0
20190727,1.5
20190728,34.5
20190729,0
20190730,1.0
20190731,0
20190801,35.0
20190802,42.0
20190803,21.0
20190804,0.5
20190805,29.5
20190806,4.0
20190807,19.0
20190808,0
20190809,0
20190810,0
20190811,0
20190812,0
20190813,0
20190814,14.0
20190815,28.5
20190816,44.5
20190817,131.5
20190818,69.0
20190819,31.0
20190820,2.0
20190821,6.5
20190822,0
20190823,0
20190824,68.0
20190825,102.5
20190826,0
20190827,0
20190828,0
20190829,0
20190830,21.0
20190831,0
20190901,4.0
20190902,8.0
20190903,72.0
20190904,30.5
20190905,0
20190906,80.0
20190907,0
20190908,1.0
20190909,13.5
20190910,16.0
20190911,0
20190912,0
20190913,0
20190914,2.0
20190915,7.5
20190916,0
20190917,0
20190918,0
20190919,0
20190920,0
20190921,0
20190922,0
20190923,0
20190924,0
20190925,0
20190926,0
20190927,0
20190928,0
20190929,0
20190930,0
20191001,0
20191002,0
20191003,60.0
20191004,2.5
20191005,0
20191006,1.0
20191007,0
20191008,0
20191009,0
20191010,36.0
20191011,8.0
20191012,2.5
20191013,0.5
20191014,0
20191015,0
20191016,0
20191017,0
20191018,0
20191019,0
20191020,0
20191021,0
20191022,0
20191023,0
