Serial,Precipitation(mm)
20170101,0
20170102,0
20170103,2.5
20170104,0
20170105,0
20170106,0
20170107,0
20170108,0
20170109,0
20170110,0
20170111,0
20170112,0
20170113,7.5
20170114,11.0
20170115,0.5
20170116,1.0
20170117,0
20170118,0
20170119,0
20170120,2.5
20170121,0
20170122,0
20170123,0
20170124,0
20170125,0
20170126,0
20170127,0
20170128,0
20170129,0
20170130,0
20170131,0
20170201,0
20170202,0
20170203,0
20170204,0
20170205,0.4
20170206,0
20170207,0
20170208,0
20170209,2.0
20170210,0
20170211,0
20170212,0
20170213,0
20170214,0
20170215,0
20170216,0
20170217,0
20170218,0
20170219,0
20170220,0.5
20170221,0
20170222,18.0
20170223,1.5
20170224,42.0
20170225,39.5
20170226,19.5
20170227,0
20170228,1.0
20170301,0.5
20170302,0
20170303,0
20170304,0
20170305,0
20170306,25.0
20170307,9.0
20170308,2.5
20170309,0
20170310,28.0
20170311,3.0
20170312,0
20170313,8.5
20170314,9.5
20170315,0
20170316,21.5
20170317,2.5
20170318,0
20170319,4.0
20170320,0
20170321,0
20170322,2.0
20170323,5.5
20170324,0
20170325,37.0
20170326,16.0
20170327,0
20170328,0
20170329,0
20170330,0
20170331,30.5
20170401,14.0
20170402,0
20170403,0
20170404,0
20170405,0
20170406,0
20170407,0
20170408,0
20170409,0
20170410,0
20170411,15.5
20170412,17.0
20170413,6.0
20170414,0
20170415,0
20170416,0.3
20170417,0
20170418,0
20170419,4.3
20170420,1.4
20170421,33.0
20170422,10.0
20170423,0
20170424,1.2
20170425,0
20170426,2.0
20170427,21.0
20170428,0
20170429,0
20170430,0
20170501,0
20170502,0.8
20170503,0.5
20170504,0
20170505,0.5
20170506,0
20170507,0
20170508,0
20170509,1.2
20170510,0
20170511,0
20170512,0.4
20170513,9.0
20170514,0
20170515,52.0
20170516,42.5
20170517,5.0
20170518,0
20170519,4.5
20170520,1.5
20170521,0
20170522,0
20170523,0
20170524,16.5
20170525,2.0
20170526,0
20170527,9.5
20170528,0
20170529,0
20170530,5.5
20170531,1.5
20170601,0
20170602,144.5
20170603,160.0
20170604,17.0
20170605,0
20170606,0
20170607,0
20170608,0
20170609,0
20170610,1.0
20170611,6.0
20170612,15.5
20170613,44.0
20170614,62.5
20170615,45.5
20170616,35.5
20170617,62.5
20170618,18.5
20170619,1.5
20170620,0
20170621,0
20170622,0
20170623,0
20170624,0
20170625,0
20170626,0
20170627,0
20170628,0
20170629,30.5
20170630,28.5
20170701,37.0
20170702,0
20170703,2.5
20170704,3.0
20170705,0
20170706,0.1
20170707,29.5
20170708,3.0
20170709,11.0
20170710,2.5
20170711,1.5
20170712,55.0
20170713,0
20170714,0
20170715,0
20170716,0
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170722,0
20170723,0
20170724,6.5
20170725,0
20170726,12.5
20170727,6.5
20170728,1.0
20170729,33.5
20170730,0.5
20170731,7.0
20170801,0
20170802,29.0
20170803,33.5
20170804,0
20170805,0
20170806,0
20170807,0
20170808,0
20170809,0
20170810,0
20170811,0
20170812,0
20170813,0
20170814,0
20170815,0
20170816,3.0
20170817,2.0
20170818,0
20170819,0
20170820,0
20170821,1.0
20170822,0
20170823,0.5
20170824,0.6
20170825,0
20170826,0
20170827,53.5
20170828,0
20170829,0
20170830,0
20170831,1.5
20170901,8.5
20170902,8.0
20170903,8.5
20170904,4.0
20170905,0
20170906,0
20170907,0
20170908,0
20170909,0.2
20170910,2.0
20170911,0
20170912,0
20170913,15.5
20170914,4.5
20170915,0
20170916,0
20170917,0
20170918,0
20170919,0
20170920,0
20170921,0
20170922,0
20170923,0
20170924,0
20170925,0
20170926,0
20170927,0
20170928,0
20170929,0
20170930,0
20171001,0
20171002,0
20171003,0
20171004,6.1
20171005,0
20171006,0
20171007,8.5
20171008,1.0
20171009,0
20171010,0
20171011,3.5
20171012,117.5
20171013,80.5
20171014,87.5
20171015,30.0
20171016,0
20171017,2.5
20171018,6.0
20171019,10.5
20171020,8.0
20171021,2.5
20171022,0
20171023,0
20171024,0
20171025,0
20171026,0
20171027,0
20171028,0
20171029,0
20171030,0
20171031,0
20171101,0
20171102,0
20171103,13.5
20171104,0.9
20171105,0
20171106,0.3
20171107,0
20171108,0.5
20171109,0
20171110,0
20171111,1.0
20171112,0.6
20171113,24.5
20171114,3.0
20171115,0
20171116,0
20171117,0
20171118,3.0
20171119,23.0
20171120,13.5
20171121,9.0
20171122,2.0
20171123,3.0
20171124,0.2
20171125,23.5
20171126,2.5
20171127,0.5
20171128,0
20171129,0
20171130,0
20171201,1.0
20171202,1.5
20171203,0
20171204,0
20171205,0.5
20171206,1.0
20171207,20.5
20171208,12.0
20171209,3.0
20171210,0
20171211,0
20171212,9.5
20171213,0.4
20171214,0
20171215,0
20171216,1.5
20171217,0
20171218,1.5
20171219,10.5
20171220,0
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,0
20171227,0
20171228,0.3
20171229,5.0
20171230,1.6
20171231,1.3
20180101,0
20180102,0
20180103,0
20180104,0.5
20180105,1.5
20180106,23.0
20180107,72.0
20180108,92.0
20180109,26.5
20180110,0
20180111,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0
20180117,0
20180118,0.3
20180119,11.0
20180120,1.0
20180121,0
20180122,1.0
20180123,0
20180124,0
20180125,0
20180126,0.3
20180127,0
20180128,11.6
20180129,11.5
20180130,11.5
20180131,27.5
20180201,5.0
20180202,10.0
20180203,32.5
20180204,32.0
20180205,20.0
20180206,0
20180207,15.0
20180208,9.5
20180209,5.5
20180210,5.5
20180211,7.0
20180212,0
20180213,0
20180214,0
20180215,0
20180216,0
20180217,0
20180218,0
20180219,0
20180220,0
20180221,0.3
20180222,24.0
20180223,0.5
20180224,0
20180225,6.0
20180226,0
20180227,0
20180228,19.0
20180301,0
20180302,0
20180303,0
20180304,0
20180305,0.5
20180306,0
20180307,0.5
20180308,25.5
20180309,0
20180310,0
20180311,0
20180312,0
20180313,0
20180314,0.2
20180315,2.3
20180316,0
20180317,0
20180318,0
20180319,0
20180320,5.0
20180321,0.3
20180322,0
20180323,0
20180324,0
20180325,0
20180326,0
20180327,0
20180328,0
20180329,0
20180330,0.2
20180331,0
20180401,0
20180402,0
20180403,0
20180404,0
20180405,0
20180406,0
20180407,4.5
20180408,0
20180409,0
20180410,0
20180411,0
20180412,34.5
20180413,0.5
20180414,0.5
20180415,5.0
20180416,6.0
20180417,14.5
20180418,0
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0
20180424,8.5
20180425,0
20180426,0
20180427,0
20180428,0
20180429,0
20180430,0
20180501,0
20180502,0
20180503,1.0
20180504,0
20180505,0
20180506,0
20180507,0
20180508,30.0
20180509,0
20180510,0
20180511,0
20180512,0
20180513,0
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0
20180521,0
20180522,0
20180523,0
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,4.0
20180530,0
20180531,0
20180601,0.6
20180602,0
20180603,0
20180604,0
20180605,12.5
20180606,9.0
20180607,0
20180608,0
20180609,0
20180610,6.0
20180611,2.0
20180612,0
20180613,0
20180614,2.5
20180615,3.0
20180616,0.5
20180617,0
20180618,8.5
20180619,0
20180620,0
20180621,0
20180622,0.5
20180623,0
20180624,0
20180625,0
20180626,0
20180627,0
20180628,0
20180629,1.0
20180630,0
20180701,0
20180702,0
20180703,0
20180704,0
20180705,0
20180706,0
20180707,26.0
20180708,0
20180709,0
20180710,21.0
20180711,86.0
20180712,0
20180713,0
20180714,0
20180715,0
20180716,0
20180717,0
20180718,0
20180719,0
20180720,0
20180721,19.0
20180722,18.5
20180723,0
20180724,28.5
20180725,10.5
20180726,0
20180727,0.2
20180728,0
20180729,0
20180730,0
20180731,0
20180801,0
20180802,0
20180803,1.0
20180804,9.0
20180805,0
20180806,4.5
20180807,0
20180808,0
20180809,0
20180810,0
20180811,0
20180812,1.0
20180813,6.5
20180814,11.5
20180815,0.3
20180816,0.4
20180817,21.5
20180818,0
20180819,31.5
20180820,0
20180821,0
20180822,0
20180823,0
20180824,3.5
20180825,11.5
20180826,5.5
20180827,3.2
20180828,10.5
20180829,51.0
20180830,16.0
20180831,0
20180901,0.2
20180902,0
20180903,0
20180904,0
20180905,3.5
20180906,4.5
20180907,15.5
20180908,44.5
20180909,16.5
20180910,6.0
20180911,0.5
20180912,0
20180913,0
20180914,0
20180915,9.2
20180916,2.0
20180917,0
20180918,0
20180919,0
20180920,0
20180921,0
20180922,0
20180923,17.5
20180924,8.2
20180925,0
20180926,4.5
20180927,6.0
20180928,10.0
20180929,10.0
20180930,0
20181001,0
20181002,0
20181003,0
20181004,7.5
20181005,0.5
20181006,0
20181007,1.0
20181008,3.5
20181009,6.0
20181010,2.5
20181011,23.0
20181012,24.5
20181013,1.0
20181014,0
20181015,0
20181016,6.0
20181017,34.5
20181018,0
20181019,5.5
20181020,0
20181021,0
20181022,0
20181023,6.0
20181024,0
20181025,0
20181026,0
20181027,0
20181028,0
20181029,0
20181030,1.7
20181031,5.5
20181101,5.0
20181102,14.0
20181103,0
20181104,0
20181105,4.5
20181106,0
20181107,0
20181108,0
20181109,0
20181110,0.3
20181111,0
20181112,0
20181113,0
20181114,0
20181115,0
20181116,0
20181117,3.6
20181118,0.3
20181119,26.0
20181120,0
20181121,0.5
20181122,20.7
20181123,7.0
20181124,0
20181125,0.2
20181126,2.5
20181127,0
20181128,5.2
20181129,0
20181130,0
20181201,0
20181202,0
20181203,0
20181204,0
20181205,0
20181206,0
20181207,0.5
20181208,0
20181209,1.0
20181210,0.2
20181211,7.5
20181212,0
20181213,2.0
20181214,3.5
20181215,0
20181216,0
20181217,3.0
20181218,0
20181219,0
20181220,0
20181221,0
20181222,0
20181223,22.5
20181224,18.0
20181225,0.8
20181226,0.4
20181227,9.5
20181228,0
20181229,0
20181230,0
20181231,1.0
20190101,1.3
20190102,3.0
20190103,7.5
20190104,0
20190105,3.0
20190106,5.5
20190107,0
20190108,0
20190109,0
20190110,0
20190111,0
20190112,0
20190113,0
20190114,0.1
20190115,0.2
20190116,12.5
20190117,7.0
20190118,0
20190119,0
20190120,1.7
20190121,5.5
20190122,1.5
20190123,0
20190124,0
20190125,0
20190126,0
20190127,0
20190128,0
20190129,0
20190130,0
20190131,0
20190201,0
20190202,0
20190203,0
20190204,1.6
20190205,0.5
20190206,0
20190207,0
20190208,0
20190209,0
20190210,0
20190211,0
20190212,0
20190213,0
20190214,0
20190215,0
20190216,0
20190217,0
20190218,0.3
20190219,1.0
20190220,0
20190221,0
20190222,4.5
20190223,3.0
20190224,57.5
20190225,0.5
20190226,0
20190227,0.2
20190228,0
20190301,0
20190302,0
20190303,12.5
20190304,0
20190305,1.0
20190306,12.5
20190307,29.0
20190308,16.5
20190309,46.5
20190310,24.0
20190311,0
20190312,0
20190313,0.5
20190314,0
20190315,7.5
20190316,0
20190317,0.7
20190318,0.2
20190319,0
20190320,0
20190321,0
20190322,0
20190323,5.7
20190324,6.0
20190325,16.8
20190326,0
20190327,0
20190328,0
20190329,14.5
20190330,3.4
20190331,0.5
20190401,6.5
20190402,0
20190403,0
20190404,0
20190405,0
20190406,0
20190407,0
20190408,0
20190409,0
20190410,0
20190411,17.4
20190412,0.3
20190413,2.5
20190414,3.3
20190415,1.0
20190416,28.0
20190417,0
20190418,0
20190419,8.5
20190420,5.0
20190421,37.5
20190422,4.0
20190423,0
20190424,0
20190425,0
20190426,1.2
20190427,0
20190428,0
20190429,0
20190430,0.2
20190501,62.0
20190502,12.0
20190503,1.0
20190504,0
20190505,0.5
20190506,13.0
20190507,9.5
20190508,0.7
20190509,15.3
20190510,0.7
20190511,0
20190512,0
20190513,0
20190514,0
20190515,0
20190516,0
20190517,102.5
20190518,0
20190519,0
20190520,96.5
20190521,0
20190522,0
20190523,1.5
20190524,0
20190525,0
20190526,0
20190527,13.0
20190528,60.5
20190529,0
20190530,0
20190531,0
20190601,7.0
20190602,0
20190603,2.0
20190604,4.0
20190605,0
20190606,0
20190607,0
20190608,0
20190609,0
20190610,15.0
20190611,111.0
20190612,29.0
20190613,41.5
20190614,71.5
20190615,0
20190616,0
20190617,0.6
20190618,0
20190619,0
20190620,0
20190621,0
20190622,3.5
20190623,41.5
20190624,7.5
20190625,79.0
20190626,13.0
20190627,26.0
20190628,0
20190629,0
20190630,0.2
20190701,0
20190702,121.5
20190703,40.5
20190704,0
20190705,0
20190706,0
20190707,0
20190708,0
20190709,0
20190710,0
20190711,0.4
20190712,19.5
20190713,0
20190714,2.5
20190715,13.2
20190716,0
20190717,19.5
20190718,8.0
20190719,8.0
20190720,14.5
20190721,61.0
20190722,23.5
20190723,28.0
20190724,0.2
20190725,0
20190726,2.0
20190727,0.4
20190728,0
20190729,0
20190730,0
20190731,0
20190801,0
20190802,0
20190803,0
20190804,0
20190805,0.2
20190806,0
20190807,18.5
20190808,41.0
20190809,34.5
20190810,4.5
20190811,0
20190812,0.1
20190813,0
20190814,0
20190815,0
20190816,0
20190817,0
20190818,17.5
20190819,7.0
20190820,0
20190821,35.0
20190822,0
20190823,0
20190824,12.5
20190825,0.2
20190826,0
20190827,0
20190828,0
20190829,0
20190830,39.0
20190831,0
20190901,0
20190902,0
20190903,0
20190904,14.5
20190905,36.5
20190906,21.0
20190907,0
20190908,0.2
20190909,0
20190910,0
20190911,0
20190912,0
20190913,0
20190914,0
20190915,9.5
20190916,11.5
20190917,2.0
